지역,총 체납액
강남구,941951
강동구,282629
강북구,134112
강서구,459850
관악구,245531
광진구,191452
구로구,138461
금천구,101049
노원구,184216
도봉구,159725
동대문구,189723
동작구,227165
마포구,192880
서대문구,130917
서초구,577570
성동구,207744
성북구,278725
송파구,359364
양천구,329605
영등포구,322769
용산구,244079
은평구,169815
종로구,141713
중구,218704
중랑구,203312
